"Title","Description","URL","State","Type of Report ","City","Zip","Latitude","Longitude"
"Title IX: Evansville-Vanderburgh School Corporation Resolution Agreement","Evansville-Vanderburgh Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05115002-b.html","Indiana","Title IX","Evansville",47713,37.9723424,-87.5639389
"Title IX: Butler University Press Release","U.S. Education Department Reaches Agreement with Butler University to Resolve Title IX Athletics Compliance Review","http://www.ed.gov/news/press-releases/us-education-department-reaches-agreement-butler-university-resolve-title-ix-ath","Indiana","Title IX","Indianapolis",46208,39.8396,-86.16972
"Title IX: Butler University Compliance Review","Butler University Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05116001-a.html","Indiana","Title IX","Indianapolis",46208,39.8396,-86.16972
"Title IX: Butler University Resolution Agreement","Butler University Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05116001-b.html","Indiana","Title IX","Indianapolis",46208,39.8396,-86.16972
"Title IX: University of Notre Dame Press Release ","Civil Rights Office Announces Settlement Agreement on Discrimination Investigation at Notre Dame","http://www.ed.gov/news/press-releases/civil-rights-office-announces-settlement-agreement-discrimination-investigation-","Indiana","Title IX","Notre Dame",46556,41.705219,-86.235307
"Title IX: University of Notre Dame Compliance Review","University of Notre Dame Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05072011-a.html","Indiana","Title IX","Notre Dame",46556,41.705219,-86.235307
"Title IX: University of Notre Dame Resolution Agreement","University of Notre Dame Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05072011-b.html","Indiana","Title IX","Notre Dame",46556,41.705219,-86.235307
"Title IX: Ball State University","Ball State University","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/05096001.html","Indiana","Title IX","Muncie",47306,40.197237,-85.408841
"Clery Act Report: Saint Mary's College- Notre Dame",,"http://studentaid.ed.gov/about/data-center/school/clery-act#stmarynd","Indiana","Clery ","Notre Dame",46556,41.70833,-86.258123
"Clery Act Report: University of Northern Iowa",,"http://studentaid.ed.gov/about/data-center/school/clery-act#uni","Iowa","Clery ","Cedar Falls",50614,42.513698,-92.463516
"Title IX: Putman v. Board of Education of Somerset Indep. School (E.D. Ky.) -Amicus Brief","Sex based discrimination at educational institutions","http://www.justice.gov/crt/about/edu/documents/putmanbr1.php","Kentucky","Department of Justice ","Somerset",42501,37.095025,-84.601903
"Title IX: Louisiana State University Compliance Resolution","Louisiana State University Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/06116001-a.html","Louisiana","Title IX","Baton Rouge",70803,30.413258,-91.180002
"Clery Act Report: Louisiana State University",,"http://studentaid.ed.gov/about/data-center/school/clery-act#lsu","Louisiana","Clery ","Baton Rouge",70803,30.413258,-91.180002
"Title IX: Louisiana State University Resolution Agreement","Louisiana State University Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/06116001-b.html","Lousiana","Title IX","Baton Rouge",70803,30.413258,-91.180002
"Title IX: Compliance Review: Portland Maine Public Schools Press Release","U.S. Education Department Reaches Agreement with Portland Maine Public Schools to Increase Athletic Opportunities for Girls","http://www.ed.gov/news/press-releases/us-education-department-reaches-agreement-portland-maine-public-schools-increase","Maine","Title IX","Portland",4103,43.6971768,-70.2947572
"Title IX: Portland Public Schools Compliance Resolution","Portland Maine Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01115001-a.html","Maine","Title IX","Portland",4103,43.6971768,-70.2947572
"Title IX: Portland Public Schools Resolution Agreement","Portland Maine Resolution Agreement","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01115001-b.html","Maine","Title IX","Portland",4103,43.6971768,-70.2947572
"Clery Act Report: Mount Saint Mary College",,"http://studentaid.ed.gov/about/data-center/school/clery-act#msmary","NY","Clery ","Newburgh",12550,41.510927,-74.013751
"Title IX: Hingham Public School District Compliance Resolution","Hingham Public Schools Compliance Review","http://www2.ed.gov/about/offices/list/ocr/docs/investigations/01105003-a.html","Massachusetts"," Title IX","Hingham",2043,42.2318299,-70.8869475
